date,SKU,impressions,clicks,costPerClick,clickThroughRate,cost,spend,currency-code,purchases1d,purchases7d,purchases14d,purchases30d,unitsSoldClicks1d,unitsSoldClicks7d,unitsSoldClicks14d,unitsSoldClicks30d,sales1d,sales7d,sales14d,sales30d,acosClicks7d,acosClicks14d,roasClicks7d,roasClicks14d
2025-09-01,MN-16,2016,14,1.998,0.694,27.97,27.97,USD,1,1,1,1,1,1,1,1,18.89,18.89,18.89,18.89,148.0677607,148.0677607,0.6753664641,0.6753664641
2025-09-01,MN-15,1810,33,2.062,1.823,68.06,68.06,USD,4,6,6,6,4,6,6,6,107.45,161.31,161.31,161.31,42.19205257,42.19205257,2.370114605,2.370114605
2025-09-01,MN-14,613,9,2.850,1.468,25.65,25.65,USD,0,1,1,1,0,1,1,1,0,90.98,90.98,90.98,28.19300945,28.19300945,3.546978558,3.546978558
2025-09-01,MN-17,1271,3,5.620,0.236,16.86,16.86,USD,2,2,2,2,9,9,9,9,274.41,274.41,274.41,274.41,6.144090959,6.144090959,16.27580071,16.27580071
2025-09-01,MN-25,1036,10,4.340,0.965,43.4,43.4,USD,1,3,3,3,2,8,8,8,218.3,851.24,851.24,851.24,5.098444622,5.098444622,19.61382488,19.61382488
2025-09-01,MN-13,598,6,1.735,1.003,10.41,10.41,USD,1,1,1,1,1,1,1,1,21.49,21.49,21.49,21.49,48.44113541,48.44113541,2.064361191,2.064361191
2025-09-01,MN-22,340,10,1.155,2.941,11.55,11.55,USD,1,1,1,1,1,1,1,1,22.49,22.49,22.49,22.49,51.35615829,51.35615829,1.947186147,1.947186147
2025-09-01,MN-19,679,5,2.276,0.736,11.38,11.38,USD,1,1,1,1,1,1,1,1,30.49,30.49,30.49,30.49,37.32371269,37.32371269,2.679261863,2.679261863
2025-09-01,MN-37,23,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-01,MN-12,1495,7,1.316,0.468,9.21,9.21,USD,1,1,1,1,1,1,1,1,22.49,22.49,22.49,22.49,40.95153402,40.95153402,2.441910966,2.441910966
2025-09-01,MN-25,4486,46,4.791,1.025,220.37,220.37,USD,15,19,19,19,16,20,20,20,663.84,811.29,811.29,811.29,27.16291338,27.16291338,3.681490221,3.681490221
2025-09-01,MN-26,1251,9,4.401,0.719,39.61,39.61,USD,3,3,3,3,5,5,5,5,147.68,147.68,147.68,147.68,26.82150596,26.82150596,3.728351426,3.728351426
2025-09-01,MN-27,497,4,5.113,0.805,20.45,20.45,USD,2,2,2,2,2,2,2,2,65.98,65.98,65.98,65.98,30.99424068,30.99424068,3.226405868,3.226405868
2025-09-01,MN-28,1651,15,4.923,0.909,73.84,73.84,USD,2,4,4,4,3,5,5,5,76.47,133.45,133.45,133.45,55.33158486,55.33158486,1.807286024,1.807286024
2025-09-01,MN-29,5392,35,3.765,0.649,131.79,131.79,USD,16,18,18,18,24,26,26,26,728.36,777.34,777.34,777.34,16.95397124,16.95397124,5.89832309,5.89832309
2025-09-01,MN-30,1232,22,3.333,1.786,73.32,73.32,USD,4,6,6,6,5,11,11,11,379.27,946.42,946.42,946.42,7.74708903,7.74708903,12.9080742,12.9080742
2025-09-01,MN-32,1185,9,4.152,0.759,37.37,37.37,USD,6,6,6,6,19,19,19,19,699.68,699.68,699.68,699.68,5.341013035,5.341013035,18.72303987,18.72303987
2025-09-01,MN-33,638,8,3.774,1.254,30.19,30.19,USD,1,2,2,2,8,9,9,9,231.04,265.53,265.53,265.53,11.3697134,11.3697134,8.795296456,8.795296456
2025-09-01,MN-34,116,4,2.410,3.448,9.64,9.64,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-01,MN-35,830,12,2.275,1.446,27.3,27.3,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-01,MN-41,572,3,6.830,0.524,20.49,20.49,USD,1,1,1,1,1,1,1,1,79.49,79.49,79.49,79.49,25.77682727,25.77682727,3.879453392,3.879453392
2025-09-01,MN-42,2288,3,2.787,0.131,8.36,8.36,USD,1,1,1,1,6,6,6,6,415.56,415.56,415.56,415.56,2.01174319,2.01174319,49.70813397,49.70813397
2025-09-01,MN-01,2325,10,2.914,0.430,29.14,29.14,USD,1,3,3,3,2,4,4,4,79.96,105.76,105.76,105.76,27.55295008,27.55295008,3.629375429,3.629375429
2025-09-01,MN-40,272,3,2.513,1.103,7.54,7.54,USD,2,2,2,2,2,2,2,2,53.98,53.98,53.98,53.98,13.96813635,13.96813635,7.159151194,7.159151194
2025-09-01,MN-26,429,6,4.317,1.399,25.9,25.9,USD,1,1,1,1,1,1,1,1,97.49,97.49,97.49,97.49,26.56682737,26.56682737,3.764092664,3.764092664
2025-09-01,MN-30,131,1,3.260,0.763,3.26,3.26,USD,2,2,2,2,4,4,4,4,368.74,368.74,368.74,368.74,0.884091772,0.884091772,113.1104294,113.1104294
2025-09-01,MN-47,49,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-01,MN-35,232,2,1.290,0.862,2.58,2.58,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-01,MN-16,67,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-01,MN-14,219,2,4.970,0.913,9.94,9.94,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-01,MN-48,108,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-01,MN-25,275,2,3.035,0.727,6.07,6.07,USD,1,1,1,1,1,1,1,1,114.49,114.49,114.49,114.49,5.301773081,5.301773081,18.8616145,18.8616145
2025-09-01,MN-15,11,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-01,MN-01,115,1,2.410,0.870,2.41,2.41,USD,1,1,1,1,1,1,1,1,22.49,22.49,22.49,22.49,10.71587372,10.71587372,9.331950207,9.331950207
2025-09-01,MN-45,404,2,2.700,0.495,5.4,5.4,USD,1,1,1,1,1,1,1,1,28.89,28.89,28.89,28.89,18.69158879,18.69158879,5.35,5.35
2025-09-01,MN-43,1569,11,2.304,0.701,25.34,25.34,USD,1,2,2,2,1,2,2,2,12.49,25.38,25.38,25.38,99.84239559,99.84239559,1.001578532,1.001578532
2025-09-01,MN-46,351,1,1.410,0.285,1.41,1.41,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-01,MN-13,2,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-01,MN-15,53,2,2.065,3.774,4.13,4.13,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-01,MN-19,6,1,1.440,16.667,1.44,1.44,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-01,MN-30,51,1,5.230,1.961,5.23,5.23,USD,1,1,1,1,1,1,1,1,35.49,35.49,35.49,35.49,14.73654551,14.73654551,6.78585086,6.78585086
2025-09-01,MN-28,552,6,4.363,1.087,26.18,26.18,USD,1,1,1,1,1,1,1,1,25.49,25.49,25.49,25.49,102.7069439,102.7069439,0.9736440031,0.9736440031
2025-09-01,MN-26,322,4,4.923,1.242,19.69,19.69,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-01,MN-07,49,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-01,MN-12,26,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-01,MN-33,251,2,3.780,0.797,7.56,7.56,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-01,MN-41,240,3,3.793,1.250,11.38,11.38,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-01,MN-03,40,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-01,MN-03,27,1,0.600,3.704,0.6,0.6,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-01,MN-03,32,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2025-09-01,MN-03,41,0,,0.000,0,0,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,,
