SKU,condition,total-inventory,available,inbound-shipped,inbound-received,reserved-quantity,unfulfillable-quantity,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-181-to-330-days,inv-age-331-to-365-days,inv-age-365-plus-days,currency,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,days-of-supply,weeks-of-cover-t30,weeks-of-cover-t90
MN-01,New,382,264,40,9,68,1,12,261,56,0,0,0,USD,59,203,386,574,1.33,0.546781,cubic feet,Standard,144.350184,US,47,6,7
MN-02,New,306,206,80,2,18,0,127,91,17,0,0,0,USD,29,155,261,417,1.56,0.373971,cubic feet,Standard,77.038026,US,85,7,8
MN-03,New,139,95,40,0,3,1,42,8,62,0,0,0,USD,13,67,116,179,1.16,0.425846,cubic feet,Standard,40.45537,US,83,8,9
MN-04,New,171,70,80,8,13,0,3,84,0,0,0,0,USD,18,71,128,187,1.65,0.375575,cubic feet,Standard,26.29025,US,99,8,10
MN-05,New,283,0,0,49,234,0,53,141,0,0,0,0,USD,249,491,543,557,1.47,0.270417,cubic feet,Standard,0,US,145,0,1
MN-06,New,21,1,0,0,20,0,8,40,0,0,0,0,USD,61,131,150,173,1.23,0.155234,cubic feet,Standard,0.155234,US,0,0,0
MN-07,New,144,134,0,0,7,3,51,45,55,0,0,0,USD,15,95,150,220,1.25,0.336372,cubic feet,Oversize,45.073848,US,59,5,7
MN-08,New,255,95,152,0,8,0,4,42,41,17,0,0,USD,2,10,18,36,0.37,0.315957,cubic feet,Standard,30.015915,US,103,98,89
MN-09,New,211,207,0,0,3,1,3,1,203,0,0,0,USD,3,19,38,66,0.36,0.108386,cubic feet,Standard,22.435902,US,57,43,40
MN-10,New,363,102,200,16,45,0,96,10,43,0,0,0,USD,25,122,177,231,1.17,0.160565,cubic feet,Standard,16.37763,US,150,10,17
MN-11,New,230,124,100,0,6,0,5,133,0,0,0,0,USD,12,101,141,215,1.43,0.183563,cubic feet,Standard,22.761812,US,159,8,13
MN-12,New,259,87,100,0,69,3,93,56,0,0,0,0,USD,48,194,291,354,1.69,0.279394,cubic feet,Standard,24.307278,US,74,3,6
MN-13,New,452,280,100,3,68,1,276,99,0,0,0,0,USD,49,242,355,466,1.49,0.097801,cubic feet,Oversize,27.38428,US,78,6,10
MN-14,New,529,471,0,0,46,12,551,0,0,0,0,0,USD,86,663,1032,1362,1.93,0.448577,cubic feet,Standard,211.279767,US,35,2,4
MN-15,New,1324,814,380,14,114,2,764,240,0,0,0,0,USD,216,1008,1688,2328,1.91,0.251906,cubic feet,Standard,205.051484,US,64,4,6
