SKU,CTR,ACOS,Ads_Pricing_Flag
MN-01,0.006614646664562855,0.1591646658847895,Visibility Issue
MN-02,0.006336346421749468,0.050160740819275886,Visibility Issue
MN-03,0.00871699253708743,0.01786616341033952,Visibility Issue
MN-04,0.006524221169469785,0.033519924691411594,Visibility Issue
MN-05,0.012886464170905573,0.10727438062079363,Neutral
MN-06,0.004513178625600367,0.20747642498353885,Price / Value Issue
MN-07,0.006611627880790762,0.025815260854674216,Visibility Issue
MN-08,0.007344320156731437,0.0038030542369249776,Visibility Issue
MN-09,0.006384926257552138,0.014435733601632606,Visibility Issue
MN-10,0.0070381881244121446,0.03652374549046369,Visibility Issue
MN-11,0.005749993530280178,0.07178106960669657,Price / Value Issue
MN-12,0.005733734048128033,0.15391430986282134,Visibility Issue
MN-13,0.018637786375480397,0.08372388331902676,Neutral
MN-14,0.0085074802848776,0.18123216727140318,Neutral
MN-15,0.013553741174562877,0.1711577478245933,Visibility Issue
MN-16,0.005670170423351613,0.15497908307286493,Visibility Issue
MN-17,0.004084317614361389,0.08161494632017824,Visibility Issue
MN-18,0.007864704654285338,0.08557268937508251,Neutral
MN-19,0.025017611337247364,0.10018918616194573,Visibility Issue
MN-20,0.012247029393222909,0.2118361892359379,Neutral
MN-21,0.007002057163103772,0.10471704534927426,Neutral
MN-22,0.009826047652121256,0.12267643874761218,Visibility Issue
MN-23,0.013548644069482004,0.09333947093871797,Visibility Issue
MN-24,0.00786955932572903,0.14429964034120102,Neutral
MN-25,0.008039573109410806,0.18233300252127912,Neutral
MN-26,0.005872463656940893,0.11538932690849048,Visibility Issue
MN-27,0.0058432405211738024,0.19559356147443419,Neutral
MN-28,0.008036649076681888,0.25823959958359777,Neutral
MN-29,0.005274255764214098,0.2554238443192197,Neutral
MN-30,0.009019785261140561,0.1750365463468994,Visibility Issue
MN-31,0.0027008629901650633,0.10818317323981545,Price / Value Issue
MN-32,0.004105457420662127,0.1785122117722344,Price / Value Issue
MN-33,0.005619642035430819,0.1017530124736095,Visibility Issue
MN-34,0.008146115831181019,0.12792987028771727,Visibility Issue
MN-35,0.006552675241240972,0.13264308280918546,Neutral
MN-36,0.01110467769606123,0.127689428521839,Visibility Issue
MN-37,0.0069116036379128715,0.03027082194039661,Visibility Issue
MN-38,0.008838477620923815,0.3700980410252962,Neutral
MN-39,0.009957790698098042,0.0349375130518873,Visibility Issue
MN-40,0.009298507231990176,0.1403636846872904,Neutral
MN-41,0.004981584242812931,0.07066567174306503,Price / Value Issue
MN-42,0.005670768117626431,0.1844818139691106,Price / Value Issue
MN-43,0.004757050357982148,0.4176886137690127,Price / Value Issue
MN-44,0.008947538158592222,0.021119420597601173,Visibility Issue
MN-45,0.004082523201946768,0.06383403459049837,Price / Value Issue
MN-46,0.004653324585418336,0.04817364827735392,Price / Value Issue
MN-47,0.00789326616821545,0.02717869162077902,Visibility Issue
MN-48,0.004897131325069814,0.04774464533572159,Visibility Issue
MN-49,0.008796199688321769,0.04057990348889837,Visibility Issue
MN-50,0.009256067098343692,0.03892214278983435,Visibility Issue
