SKU,Competition_Level,Pricing_Power_Index,Market_Type,High_Competitive_Pressure
MN-01,High,0.3509485094850949,Mixed,True
MN-02,High,0.3707692307692309,Mixed,True
MN-03,High,0.3553977272727273,Mixed,True
MN-04,High,0.4014084507042253,Commoditized,True
MN-05,Medium,0.20711297071129706,Mixed,False
MN-06,Medium,0.5386075949367088,Mixed,False
MN-07,High,0.3895522388059703,Mixed,True
MN-08,High,0.4471153846153846,Mixed,True
MN-09,Medium,0.6993589743589743,Mixed,False
MN-10,High,0.4853658536585366,Commoditized,True
MN-11,High,0.4780898876404494,Commoditized,True
MN-12,High,0.4649532710280374,Commoditized,True
MN-13,High,0.47561983471074387,Commoditized,True
MN-14,High,0.4298561151079136,Commoditized,True
MN-15,High,0.4870535714285715,Commoditized,True
MN-16,High,0.47512437810945274,Commoditized,True
MN-17,High,0.40984126984126984,Mixed,True
MN-18,High,0.43055555555555547,Mixed,True
MN-19,High,0.43573264781490995,Mixed,True
MN-20,High,0.5527999999999998,Commoditized,True
MN-21,High,0.47229437229437227,Commoditized,True
MN-22,High,0.454337899543379,Commoditized,True
MN-23,High,0.6104761904761905,Commoditized,True
MN-24,High,0.4783653846153846,Commoditized,True
MN-25,High,0.42,Mixed,True
MN-26,High,0.42598684210526316,Mixed,True
MN-27,High,0.4317725752508361,Mixed,True
MN-28,High,0.45610687022900764,Commoditized,True
MN-29,High,0.4802631578947368,Commoditized,True
MN-30,High,0.40961538461538466,Mixed,True
MN-31,High,0.4345637583892617,Mixed,True
MN-32,High,0.4330909090909091,Commoditized,True
MN-33,High,0.42793196060877353,Commoditized,True
MN-34,High,0.4411242603550296,Mixed,True
MN-35,High,0.45440729483282677,Mixed,True
MN-36,High,0.4289036544850498,Mixed,True
MN-37,High,0.4064625850340136,Commoditized,True
MN-38,High,0.44583333333333336,Mixed,True
MN-39,High,0.46317829457364335,Commoditized,True
MN-40,High,0.4799196787148594,Commoditized,True
MN-41,High,0.3630303030303031,Mixed,True
MN-42,High,0.3894531250000002,Mixed,True
MN-43,High,0.5344594594594593,Commoditized,True
MN-44,High,0.0,Commoditized,True
MN-45,High,0.4442675159235669,Mixed,True
MN-46,High,0.44809688581314877,Mixed,True
MN-47,High,0.3844527363184081,Mixed,True
MN-48,Medium,0.39625850340136054,Differentiated,False
MN-49,High,0.4214501510574018,Mixed,True
MN-50,High,0.4619205298013245,Mixed,True
