SKU,Current_Price,Total_Cost,Floor_Price,Target_Price,Below_Floor_Price
MN-01,38.9,32.3,40.37,49.69,True
MN-02,33.9,26.6,33.25,40.92,False
MN-03,34.9,30.03,37.54,46.2,True
MN-04,29.9,25.94,32.42,39.91,True
MN-05,21.9,25.770000000000003,34.36,46.85,True
MN-06,14.95,14.37,19.16,26.13,True
MN-07,34.9,29.87,37.34,45.95,True
MN-08,29.9,26.11,34.81,47.47,True
MN-09,14.9,14.92,19.89,27.13,True
MN-10,19.9,17.4,21.75,26.77,True
MN-11,16.9,15.26,19.08,23.48,True
MN-12,19.9,17.87,22.34,27.49,True
MN-13,22.9,17.8,22.25,27.38,False
MN-14,26.9,24.93,31.16,38.35,True
MN-15,21.9,19.24,24.05,29.6,True
MN-16,19.9,17.4,21.75,26.77,True
MN-17,29.9,27.98,34.98,43.05,True
MN-18,26.9,27.729999999999997,34.66,42.66,True
MN-19,36.9,32.94,41.18,50.68,True
MN-20,11.9,11.02,13.77,16.95,True
MN-21,21.9,19.4,24.25,29.85,True
MN-22,20.9,19.08,23.85,29.35,True
MN-23,9.95,10.399999999999999,13.0,16.0,True
MN-24,19.9,15.620000000000001,19.52,24.03,False
MN-25,34.9,31.21,39.01,48.02,True
MN-26,29.9,26.85,33.56,41.31,True
MN-27,28.9,24.18,30.22,37.2,True
MN-28,24.9,22.47,28.09,34.57,True
MN-29,21.9,17.71,22.14,27.25,True
MN-30,34.9,35.230000000000004,44.04,54.2,True
MN-31,28.9,26.55,33.19,40.85,True
MN-32,26.9,23.91,29.89,36.78,True
MN-33,25.9,22.16,27.7,34.09,True
MN-34,32.9,28.439999999999998,35.55,43.75,True
MN-35,31.9,28.490000000000002,35.61,43.83,True
MN-36,29.9,25.049999999999997,31.31,38.54,True
MN-37,28.9,25.92,32.4,39.88,True
MN-38,29.9,26.29,32.86,40.45,True
MN-39,24.9,22.93,28.66,35.28,True
MN-40,23.9,19.67,24.59,30.26,True
MN-41,78.9,63.42,79.27,97.57,True
MN-42,73.9,50.79,63.49,78.14,False
MN-43,13.9,10.81,13.51,16.63,False
MN-44,11.9,9.66,12.08,14.86,True
MN-45,29.9,25.68,32.1,39.51,True
MN-46,26.9,20.990000000000002,26.24,32.29,False
MN-47,76.9,55.34,69.18,85.14,False
MN-48,89.9,68.98,86.22,106.12,False
MN-49,32.9,30.560000000000002,38.2,47.02,True
MN-50,29.9,27.6,34.5,42.46,True
